id;title;avatar;avatar_content_type
1;Lead funzionalità;../fake-data/blob/hipster.png;image/png
2;connecting target;../fake-data/blob/hipster.png;image/png
3;Islanda synthesizing payment;../fake-data/blob/hipster.png;image/png
4;Cambridgeshire payment;../fake-data/blob/hipster.png;image/png
5;Piazza Barbados;../fake-data/blob/hipster.png;image/png
6;compressing Product virtuale;../fake-data/blob/hipster.png;image/png
7;neural e-business;../fake-data/blob/hipster.png;image/png
8;Chair;../fake-data/blob/hipster.png;image/png
9;Ergonomic distribuita;../fake-data/blob/hipster.png;image/png
10;Dollar);../fake-data/blob/hipster.png;image/png
